station,station_name,lon,lat,elev,variable,valid_months,start,end
3016124,STETTLER_NORTH,-112.6,52.35,795,tas,1178,1918-09-01,2021-12-01
7016902,STE_BEATRIX,-73.6,46.2,198,tas,495,1974-11-01,2021-11-01
5062921,THOMPSON,-97.87,55.8,224,tas,655,1967-04-01,2021-12-01
8502592,MARY_S_HARBOUR,-55.85,52.3,11,tas,1509,1884-04-01,2021-12-01
6135583,NEW_GLASGOW,-81.63,42.52,198,tas,765,1957-07-01,2021-12-01
1054929,MASSET_A,-132.13,54.03,6,tas,954,1900-01-01,2021-12-01
4064149,LA_RONGE,-105.27,55.15,379,tas,873,1923-09-01,2021-12-01
1068134,TERRACE,-128.58,54.47,217,tas,1276,1912-10-01,2021-12-01
1022250,CUMBERLAND,-125.03,49.62,159,tas,629,1922-05-01,1977-06-01
1125079,MERRITT,-120.8,50.12,609,tas,666,1962-05-01,2021-01-01
3033890,LETHBRIDGE,-112.77,49.7,910,tas,1376,1902-01-01,2021-12-01
5010490,BRANDON,-99.95,49.9,409,tas,1579,1890-01-01,2021-12-01
4022328,EASTLEIGH,-106.18,50.28,709,tas,554,1958-09-01,2007-11-01
5011241,HAMIOTA,-100.6,50.18,520,tas,866,1914-11-01,2002-06-01
8403389,ST_ANTHONY,-56.07,51.4,33,tas,786,1946-06-01,2021-12-01
5031320,INDIAN_BAY,-95.2,49.62,327,tas,1270,1915-04-01,2021-12-01
5020040,ALTONA,-97.55,49.1,248,tas,658,1949-04-01,2008-07-01
6158875,TRENTON,-77.53,44.12,86,tas,995,1935-01-01,2021-12-01
6113329,WALKERTON,-81.0,44.12,270,tas,1092,1915-07-01,2008-09-01
7022000,DISRAELI,-71.32,45.92,350,tas,848,1911-01-01,1991-05-01
2400602,CAMBRIDGE_BAY,-105.13,69.1,19,tas,961,1940-01-01,2021-12-01
3062696,FORT_MCMURRAY,-111.22,56.65,369,tas,1259,1916-01-01,2021-12-01
7028200,SOREL,-73.12,46.03,15,tas,1242,1914-06-01,2021-11-01
8205000,SALMON_HOLE,-64.03,44.93,84,tas,829,1938-10-01,2013-04-01
7103539,KUUJJUARAPIK,-77.57,55.37,30,tas,1045,1925-10-01,2021-12-01
4083324,HUDSON_BAY,-102.32,52.82,358,tas,938,1943-03-01,2021-12-01
7017080,ST_COME,-73.75,46.28,244,tas,760,1950-12-01,2018-11-01
1108380,VANCOUVER,-123.18,49.18,2,tas,1510,1896-02-01,2021-12-01
7035160,MONT_LAURIER,-75.55,46.57,244,tas,1032,1920-07-01,2014-06-01
6158410,TORONTO_BUTTONVILLE,-79.37,43.87,198,tas,530,1974-07-01,2019-01-01
3016GF0,VEGREVILLE,-112.1,53.5,639,tas,801,1940-04-01,2021-12-01
7028442,THETFORD_MINES,-71.27,46.05,430,tas,1150,1922-02-01,2021-12-01
7070454,BARRAGE_GOUIN,-74.1,48.35,404,tas,779,1914-03-01,1982-12-01
5031A10,GRAND_RAPIDS,-99.27,53.18,223,tas,706,1960-07-01,2021-12-01
6133362,HARROW,-82.9,42.03,191,tas,1239,1917-04-01,2021-12-01
8401502,DEER_LAKE,-57.4,49.22,22,tas,1053,1933-03-01,2021-12-01
5061022,GILLAM,-94.72,56.35,145,tas,870,1943-03-01,2021-12-01
3056214,WATERTON_PARK_GATE,-113.82,49.13,1289,tas,571,1966-06-01,2021-12-01
1021960,CORTES_ISLAND,-124.95,50.07,15,tas,762,1947-03-01,2019-02-01
4032322,KLINTONEL,-108.98,49.43,1080,tas,1287,1910-05-01,2021-12-01
8502799,NAIN,-61.68,56.55,8,tas,430,1984-09-01,2021-12-01
8204402,PARRSBORO,-64.35,45.42,31,tas,1420,1897-02-01,2021-12-01
8400413,BAY_D_ESPOIR,-55.8,47.98,23,tas,547,1967-11-01,2019-11-01
4040600,BIGGAR,-107.98,52.07,671,tas,994,1917-04-01,2005-03-01
6040325,ARMSTRONG,-88.9,50.3,323,tas,661,1953-01-01,2021-12-01
4056121,PILGER,-105.15,52.42,552,tas,1194,1911-10-01,2021-12-01
4020020,ABBEY,-108.78,50.7,695,tas,526,1956-05-01,2008-01-01
8204800,ST_MARGARET_S_BAY,-63.9,44.7,17,tas,1139,1922-04-01,2021-05-01
1017230,SHAWNIGAN_LAKE,-123.63,48.65,159,tas,1300,1913-04-01,2021-12-01
3032642,FOREMOST,-111.48,49.48,881,tas,969,1915-08-01,2021-12-01
7066686,ROBERVAL,-72.27,48.52,179,tas,1162,1914-01-01,2021-12-01
6110607,BEATRICE,-79.4,45.13,297,tas,1714,1878-01-01,2021-12-01
7014160,JOLIETTE,-73.43,45.82,21,tas,1234,1914-01-01,2021-12-01
1065670,OCEAN_FALLS,-127.68,52.35,5,tas,726,1924-01-01,1986-11-01
8200604,METEGHAN_RIVER,-66.35,44.28,16,tas,755,1937-03-01,2021-12-01
119BLM0,DEASE_LAKE,-130.03,58.43,801,tas,915,1944-09-01,2021-12-01
6139449,WELLAND,-79.33,42.97,178,tas,1684,1872-10-01,2021-12-01
8501106,CARTWRIGHT,-57.05,53.68,14,tas,1030,1934-11-01,2021-12-01
5062040,NORWAY_HOUSE,-97.85,53.97,224,tas,1106,1897-01-01,2021-12-01
1036240,PORT_ALICE,-127.45,50.38,21,tas,690,1956-01-01,2016-04-01
1046392,POWELL_RIVER,-124.5,49.83,125,tas,1123,1924-01-01,2021-12-01
6158731,TORONTO_INTL_A,-79.63,43.68,173,tas,1006,1937-11-01,2021-12-01
8103500,NEPISIGUIT_FALLS,-65.78,47.4,106,tas,957,1922-07-01,2006-02-01
7057720,STEROSE_DEGELIS,-68.63,47.57,151,tas,801,1932-11-01,2004-04-01
4047240,SCOTT,-108.83,52.37,660,tas,1322,1911-05-01,2021-12-01
2202810,NORMAN_WELLS,-126.75,65.28,94,tas,937,1943-05-01,2021-12-01
5022125,PILOT_MOUND,-98.9,49.18,470,tas,830,1938-04-01,2021-12-01
4019041,YELLOW_GRASS,-104.18,49.82,578,tas,1270,1911-08-01,2021-12-01
5013117,WASAGAMING,-99.95,50.65,627,tas,621,1966-03-01,2021-12-01
504K80K,SWAN_RIVER,-101.23,52.12,335,tas,711,1959-04-01,2021-12-01
5040681,DAUPHIN,-100.05,51.1,305,tas,1355,1903-01-01,2021-12-01
7051200,CAUSAPSCAL,-67.23,48.37,168,tas,1183,1913-11-01,2021-07-01
6137730,SIMCOE,-80.27,42.85,241,tas,760,1920-07-01,1986-12-01
6025205,MINE_CENTRE,-92.62,48.77,361,tas,1244,1915-02-01,2021-12-01
4067655,WHITESAND-SOUTHEND,-103.28,56.33,344,tas,983,1938-01-01,2021-12-01
